recorded_at,experiment,mode,target_fps,duration_s,warmup_s,logical_cpu_count,platform,processor,frame_count,avg_fps,avg_inference_ms,avg_process_cpu_percent,peak_process_cpu_percent,avg_machine_cpu_percent,peak_machine_cpu_percent,avg_system_cpu_percent,avg_ram_mb,peak_ram_mb,sample_count
2026-07-19T10:23:38.175323+00:00,experiment_2_laptop,both,5.0,600.0,15.0,8,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",1783,2.972,334.04,512.06,666.3,64.01,83.29,99.21,476.54,478.77,507
2026-07-19T10:49:04.338254+00:00,experiment_2_laptop,both,10.0,600.0,15.0,8,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",2006,3.343,296.54,566.86,682.8,70.86,85.35,98.49,466.15,468.64,513
2026-07-19T10:59:48.167802+00:00,experiment_2_laptop,both,12.0,600.0,15.0,8,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",2190,3.65,271.55,615.65,689.6,76.96,86.2,96.9,470.38,472.36,509
2026-07-19T11:10:20.259604+00:00,experiment_2_laptop,both,30.0,600.0,15.0,8,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",1985,3.308,299.78,578.29,696.3,72.29,87.04,98.22,470.48,471.94,513
