recorded_at,experiment,label,frame_index,frame_width,frame_height,person_count,primary_area_pct,max_secondary_area_pct,max_secondary_iou,any_secondary_in_roi,intrusion_suspected,person_boxes_json
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,1,640,480,1,0.471492,0.000000,0.000000,0,0,"[{""x1"": 163.13973999023438, ""y1"": 136.8207244873047, ""x2"": 586.281005859375, ""y2"": 479.1234130859375, ""confidence"": 0.9647828936576843, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,2,640,480,1,0.472528,0.000000,0.000000,0,0,"[{""x1"": 163.48939514160156, ""y1"": 135.7985382080078, ""x2"": 586.26953125, ""y2"": 479.1466064453125, ""confidence"": 0.9651944041252136, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,3,640,480,1,0.478294,0.000000,0.000000,0,0,"[{""x1"": 164.4813232421875, ""y1"": 130.1392059326172, ""x2"": 585.5151977539062, ""y2"": 479.1177062988281, ""confidence"": 0.9660096168518066, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,4,640,480,1,0.474922,0.000000,0.000000,0,0,"[{""x1"": 169.82264709472656, ""y1"": 127.37643432617188, ""x2"": 584.5374755859375, ""y2"": 479.1747131347656, ""confidence"": 0.9669984579086304, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,5,640,480,1,0.473156,0.000000,0.000000,0,0,"[{""x1"": 172.61831665039062, ""y1"": 127.16459655761719, ""x2"": 585.5523681640625, ""y2"": 479.16650390625, ""confidence"": 0.966072142124176, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,6,640,480,1,0.460832,0.000000,0.000000,0,0,"[{""x1"": 186.13296508789062, ""y1"": 127.77436828613281, ""x2"": 589.0047607421875, ""y2"": 479.17071533203125, ""confidence"": 0.9670547246932983, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,7,640,480,1,0.461850,0.000000,0.000000,0,0,"[{""x1"": 185.87445068359375, ""y1"": 127.56866455078125, ""x2"": 589.3917846679688, ""y2"": 479.1776123046875, ""confidence"": 0.966253936290741, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,8,640,480,1,0.463813,0.000000,0.000000,0,0,"[{""x1"": 182.8188934326172, ""y1"": 129.18948364257812, ""x2"": 589.9208374023438, ""y2"": 479.18408203125, ""confidence"": 0.9651800990104675, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,9,640,480,1,0.461067,0.000000,0.000000,0,0,"[{""x1"": 181.81898498535156, ""y1"": 131.9728240966797, ""x2"": 589.754638671875, ""y2"": 479.1842346191406, ""confidence"": 0.9643628001213074, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,10,640,480,1,0.460464,0.000000,0.000000,0,0,"[{""x1"": 181.1940460205078, ""y1"": 132.6231689453125, ""x2"": 589.3702392578125, ""y2"": 479.17608642578125, ""confidence"": 0.9644489288330078, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,11,640,480,1,0.462946,0.000000,0.000000,0,0,"[{""x1"": 180.10499572753906, ""y1"": 132.2689666748047, ""x2"": 590.0333251953125, ""y2"": 479.20025634765625, ""confidence"": 0.9652687311172485, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,12,640,480,1,0.463336,0.000000,0.000000,0,0,"[{""x1"": 179.80589294433594, ""y1"": 132.2559356689453, ""x2"": 590.086669921875, ""y2"": 479.1812744140625, ""confidence"": 0.9638785719871521, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,13,640,480,1,0.464697,0.000000,0.000000,0,0,"[{""x1"": 179.33656311035156, ""y1"": 132.0611114501953, ""x2"": 590.552978515625, ""y2"": 479.21405029296875, ""confidence"": 0.9656037092208862, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,14,640,480,1,0.465106,0.000000,0.000000,0,0,"[{""x1"": 178.76675415039062, ""y1"": 132.24105834960938, ""x2"": 590.5645141601562, ""y2"": 479.209228515625, ""confidence"": 0.9647786021232605, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,15,640,480,1,0.466089,0.000000,0.000000,0,0,"[{""x1"": 176.31126403808594, ""y1"": 132.03213500976562, ""x2"": 588.8837890625, ""y2"": 479.080322265625, ""confidence"": 0.9673417806625366, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,16,640,480,1,0.466723,0.000000,0.000000,0,0,"[{""x1"": 176.0680389404297, ""y1"": 131.69915771484375, ""x2"": 588.7915649414062, ""y2"": 479.0924072265625, ""confidence"": 0.96694016456604, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,17,640,480,1,0.466099,0.000000,0.000000,0,0,"[{""x1"": 175.0245361328125, ""y1"": 133.21951293945312, ""x2"": 588.9224853515625, ""y2"": 479.1636657714844, ""confidence"": 0.9673442244529724, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,18,640,480,1,0.465290,0.000000,0.000000,0,0,"[{""x1"": 175.12403869628906, ""y1"": 133.66580200195312, ""x2"": 588.8275146484375, ""y2"": 479.1718444824219, ""confidence"": 0.9671397805213928, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,19,640,480,1,0.465751,0.000000,0.000000,0,0,"[{""x1"": 174.1410675048828, ""y1"": 134.18739318847656, ""x2"": 588.8909301757812, ""y2"": 479.16326904296875, ""confidence"": 0.9670386910438538, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,20,640,480,1,0.465472,0.000000,0.000000,0,0,"[{""x1"": 174.3043212890625, ""y1"": 134.2882537841797, ""x2"": 588.9141235351562, ""y2"": 479.173828125, ""confidence"": 0.9672439694404602, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,21,640,480,1,0.465212,0.000000,0.000000,0,0,"[{""x1"": 173.6127166748047, ""y1"": 134.6509246826172, ""x2"": 588.469970703125, ""y2"": 479.1383056640625, ""confidence"": 0.9683039784431458, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,22,640,480,1,0.465294,0.000000,0.000000,0,0,"[{""x1"": 173.15863037109375, ""y1"": 135.10597229003906, ""x2"": 588.6539306640625, ""y2"": 479.1249694824219, ""confidence"": 0.9675466418266296, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,23,640,480,1,0.463924,0.000000,0.000000,0,0,"[{""x1"": 173.58932495117188, ""y1"": 135.84017944335938, ""x2"": 588.766357421875, ""y2"": 479.10955810546875, ""confidence"": 0.9694809913635254, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,24,640,480,1,0.463073,0.000000,0.000000,0,0,"[{""x1"": 173.61337280273438, ""y1"": 136.3516845703125, ""x2"": 588.6591796875, ""y2"": 479.09954833984375, ""confidence"": 0.968271017074585, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,25,640,480,1,0.463097,0.000000,0.000000,0,0,"[{""x1"": 173.5574493408203, ""y1"": 136.47264099121094, ""x2"": 588.7499389648438, ""y2"": 479.116943359375, ""confidence"": 0.9684237837791443, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,26,640,480,1,0.463429,0.000000,0.000000,0,0,"[{""x1"": 173.5487060546875, ""y1"": 135.95266723632812, ""x2"": 588.46728515625, ""y2"": 479.06878662109375, ""confidence"": 0.9676910638809204, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,27,640,480,1,0.463846,0.000000,0.000000,0,0,"[{""x1"": 173.4806365966797, ""y1"": 135.60719299316406, ""x2"": 588.3051147460938, ""y2"": 479.1100158691406, ""confidence"": 0.9668081998825073, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,28,640,480,1,0.464820,0.000000,0.000000,0,0,"[{""x1"": 174.47637939453125, ""y1"": 134.94834899902344, ""x2"": 589.2886352539062, ""y2"": 479.18304443359375, ""confidence"": 0.9574233293533325, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,29,640,480,1,0.464398,0.000000,0.000000,0,0,"[{""x1"": 174.94825744628906, ""y1"": 135.00775146484375, ""x2"": 589.454345703125, ""y2"": 479.1836853027344, ""confidence"": 0.961965799331665, ""class_id"": 0}]"
2026-07-17T09:27:59.457697+00:00,experiment_1_desktop_pc_camera,solo_normal_exam,30,640,480,1,0.463926,0.000000,0.000000,0,0,"[{""x1"": 177.3887176513672, ""y1"": 133.66331481933594, ""x2"": 589.8763427734375, ""y2"": 479.17218017578125, ""confidence"": 0.963344931602478, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,1,640,480,1,0.381255,0.000000,0.000000,0,0,"[{""x1"": 145.85330200195312, ""y1"": 172.68939208984375, ""x2"": 527.8001098632812, ""y2"": 479.33306884765625, ""confidence"": 0.8934346437454224, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,2,640,480,1,0.383076,0.000000,0.000000,0,0,"[{""x1"": 143.3725128173828, ""y1"": 173.05038452148438, ""x2"": 527.6048583984375, ""y2"": 479.32568359375, ""confidence"": 0.8706481456756592, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,3,640,480,1,0.381913,0.000000,0.000000,0,0,"[{""x1"": 145.0938720703125, ""y1"": 172.7677459716797, ""x2"": 527.724609375, ""y2"": 479.3917541503906, ""confidence"": 0.8825430870056152, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,4,640,480,1,0.386299,0.000000,0.000000,0,0,"[{""x1"": 141.09732055664062, ""y1"": 172.44786071777344, ""x2"": 527.75830078125, ""y2"": 479.360107421875, ""confidence"": 0.8797259330749512, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,5,640,480,1,0.382415,0.000000,0.000000,0,0,"[{""x1"": 145.03750610351562, ""y1"": 172.45840454101562, ""x2"": 527.8130493164062, ""y2"": 479.36895751953125, ""confidence"": 0.9006878137588501, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,6,640,480,1,0.384340,0.000000,0.000000,0,0,"[{""x1"": 142.72674560546875, ""y1"": 172.77467346191406, ""x2"": 527.803955078125, ""y2"": 479.38641357421875, ""confidence"": 0.8615397214889526, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,7,640,480,1,0.383147,0.000000,0.000000,0,0,"[{""x1"": 143.8009490966797, ""y1"": 172.799072265625, ""x2"": 527.720947265625, ""y2"": 479.3808288574219, ""confidence"": 0.884260892868042, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,8,640,480,1,0.382586,0.000000,0.000000,0,0,"[{""x1"": 144.6294708251953, ""y1"": 172.65232849121094, ""x2"": 527.805419921875, ""y2"": 479.37921142578125, ""confidence"": 0.892479658126831, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,9,640,480,1,0.382383,0.000000,0.000000,0,0,"[{""x1"": 144.64230346679688, ""y1"": 172.66539001464844, ""x2"": 527.6385498046875, ""y2"": 479.3731689453125, ""confidence"": 0.8844747543334961, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,10,640,480,1,0.386542,0.000000,0.000000,0,0,"[{""x1"": 141.12388610839844, ""y1"": 172.33677673339844, ""x2"": 527.8756103515625, ""y2"": 479.3698425292969, ""confidence"": 0.863067626953125, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,11,640,480,1,0.385418,0.000000,0.000000,0,0,"[{""x1"": 142.36036682128906, ""y1"": 172.37326049804688, ""x2"": 528.0532836914062, ""y2"": 479.35467529296875, ""confidence"": 0.8810752034187317, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,12,640,480,1,0.384399,0.000000,0.000000,0,0,"[{""x1"": 142.7283935546875, ""y1"": 172.75303649902344, ""x2"": 527.8740234375, ""y2"": 479.3575439453125, ""confidence"": 0.8543866872787476, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,13,640,480,1,0.384626,0.000000,0.000000,0,0,"[{""x1"": 142.9577178955078, ""y1"": 172.3687286376953, ""x2"": 527.8565063476562, ""y2"": 479.35076904296875, ""confidence"": 0.8938634395599365, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,14,640,480,1,0.383666,0.000000,0.000000,0,0,"[{""x1"": 143.64805603027344, ""y1"": 172.54931640625, ""x2"": 527.76953125, ""y2"": 479.38494873046875, ""confidence"": 0.8955557346343994, ""class_id"": 0}]"
2026-07-17T09:32:45.472199+00:00,experiment_1_desktop_pc_camera,background_one_person_normal,15,640,480,1,0.382983,0.000000,0.000000,0,0,"[{""x1"": 144.32437133789062, ""y1"": 172.5517578125, ""x2"": 527.7890014648438, ""y2"": 479.36590576171875, ""confidence"": 0.8937006592750549, ""class_id"": 0}]"
