recorded_at,experiment,label,frame_index,elapsed_s,face_detected,head_pitch,head_yaw,eye_pitch,eye_yaw,gaze_pitch,gaze_yaw,iris_offset_x,iris_offset_y
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,33,3.0644,1,-3.4915,11.3967,7.0347,2.9945,3.5431,14.3912,0.0499,-0.1172
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,34,3.1609,1,-3.5569,11.0949,6.6529,2.7164,3.0959,13.8113,0.0453,-0.1109
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,35,3.2510,1,-3.4259,11.1107,4.2523,2.3882,0.8265,13.4989,0.0398,-0.0709
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,36,3.3446,1,-3.7256,11.4583,3.5829,2.3472,-0.1427,13.8055,0.0391,-0.0597
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,37,3.4367,1,-3.0022,11.6507,6.6172,3.0171,3.6151,14.6678,0.0503,-0.1103
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,38,3.5294,1,-3.5876,11.7089,5.0181,3.1139,1.4304,14.8228,0.0519,-0.0836
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,39,3.6281,1,-4.6168,11.7899,6.4164,2.9295,1.7996,14.7195,0.0488,-0.1069
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,40,3.7157,1,-4.4827,11.8245,6.6261,3.3651,2.1434,15.1896,0.0561,-0.1104
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,41,3.8097,1,-3.7283,11.1414,6.7492,2.6101,3.0210,13.7516,0.0435,-0.1125
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,42,3.9017,1,-3.1937,11.1862,7.0542,2.7323,3.8605,13.9185,0.0455,-0.1176
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,43,3.9962,1,-4.4160,11.5657,4.7469,2.9776,0.3309,14.5433,0.0496,-0.0791
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,44,4.0877,1,-3.7487,11.2799,4.3236,4.0793,0.5749,15.3592,0.0680,-0.0721
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,45,4.1812,1,-4.3087,11.0718,4.5510,2.7105,0.2423,13.7823,0.0452,-0.0758
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,46,4.2806,1,-4.3311,11.3039,6.1848,2.6937,1.8537,13.9976,0.0449,-0.1031
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,47,4.3673,1,-4.6820,11.3563,7.8694,2.7482,3.1873,14.1045,0.0458,-0.1312
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,48,4.4600,1,-4.2512,11.5656,5.3508,3.2987,1.0996,14.8643,0.0550,-0.0892
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,49,4.5517,1,-4.5578,10.7780,5.9335,3.0743,1.3756,13.8523,0.0512,-0.0989
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,50,4.6478,1,-4.1820,10.7876,5.9654,3.4210,1.7834,14.2086,0.0570,-0.0994
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,51,4.7448,1,-4.2735,11.6847,4.9436,4.0686,0.6701,15.7533,0.0678,-0.0824
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,52,4.8327,1,-3.6352,11.4624,4.5504,2.8063,0.9152,14.2687,0.0468,-0.0758
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,53,4.9259,1,-3.8056,11.3552,5.9730,2.3071,2.1674,13.6623,0.0385,-0.0996
