recorded_at,experiment,label,frame_index,phone_confidence
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,23,0.7858
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,24,0.7492
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,25,0.6564
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,26,0.6132
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,27,0.6288
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,28,0.3561
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,29,0.6915
2026-07-15T15:35:10.201754+00:00,experiment_1_desktop_pc_camera,phone_lower_frame,30,0.7009
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,1,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,2,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,3,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,4,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,5,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,6,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,7,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,8,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,9,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,10,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,11,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,12,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,13,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,14,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,15,0.2652
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,16,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,17,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,18,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,19,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,20,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,21,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,22,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,23,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,24,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,25,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,26,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,27,0.0000
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,28,0.4974
